0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:14 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:16 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:17 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:17 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:17 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:17 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:18 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:18 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:24 -0200] "GET /Final/sair.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:24 -0200] "GET /Final/login.jsp HTTP/1.1" 200 2330
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:27 -0200] "POST /Final/autentica.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:27 -0200] "GET /Final/index.jsp HTTP/1.1" 200 6858
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:29 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:32 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:32 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:32 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:32 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:32 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:33 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:33 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:33 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:34 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:34 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:34 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:35 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:36 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:36 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:36 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:36 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:37 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:43:37 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:44:02 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:44:02 -0200] "GET /Final/login.jsp HTTP/1.1" 200 2330
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:44:02 -0200] "GET /Final/images/logo2.png HTTP/1.1" 200 11211
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:44:02 -0200] "GET /Final/css/reset.css HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:44:02 -0200] "GET /Final/css/estilo.css HTTP/1.1" 200 6890
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:44:02 -0200] "GET /Final/images/login24.png HTTP/1.1" 200 1278
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:44:02 -0200] "GET /Final/images/user.png HTTP/1.1" 200 894
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:44:02 -0200] "GET /Final/images/autentica64.png HTTP/1.1" 200 2862
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:44:02 -0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:44:06 -0200] "POST /Final/autentica.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:44:06 -0200] "GET /Final/index.jsp HTTP/1.1" 200 6858
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:44:06 -0200] "GET /Final/images/edit.png HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:44:06 -0200] "GET /Final/images/carl.jpg HTTP/1.1" 200 31039
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:44:07 -0200] "GET /Final/images/food2.png HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:44:07 -0200] "GET /Final/images/perfil2.png HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:44:08 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:44:37 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4427
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:44:37 -0200] "GET /Final/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:44:37 -0200] "GET /Final/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:44:37 -0200] "GET /Final/images/carl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:44:37 -0200] "GET /Final/images/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:44:37 -0200] "GET /Final/images/login24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:44:37 -0200] "GET /Final/images/user.png HTTP/1.1" 304 -
